Key,Summary,Issue Type,Epic,Epic Name,Priority,Story Points,Milestone,Requirements,Depends On,Description,Acceptance Criteria
AITP-96,"Modul ""GitHub Copilot Grundlagen"" - Sessions, Kontext und Modellwahl",Story,EP-10,Content-Authoring & Szenariokatalog,Must,8,M2,"FR-20, FR-21, FR-34, FR-45","AITP-24, AITP-90, AITP-93","Eigenständiges Lernmodul zur tatsächlichen Nutzung von GitHub Copilot in VS Code. Vermittelt Chat, Inline-Vorschläge und agentische Interaktion, grenzt Training-Session und Copilot-Unterhaltung klar voneinander ab und erklärt Kontext, neue Unterhaltungen, Modellwahl, Auto-/Standardauswahl sowie aufgabenbezogene Auswahlkriterien. Weiterführende Quellen werden als pflegbare Content-Metadaten hinterlegt; lokale Ollama-Setups sind nicht Bestandteil des Standard-Lernpfads.","- Der Lerninhalt erklärt den Unterschied zwischen Training-Session und Copilot-Unterhaltung eindeutig
- Nutzer können im Simulator eine neue Copilot-Unterhaltung beginnen und nachvollziehen, welcher Kontext dadurch erhalten bleibt bzw. neu aufgebaut wird
- Modellwahl und Auto-/Standardauswahl sind über semantische UiTargetRefs im Copilot-Adapter erreichbar
- Der Kurs erklärt mindestens drei typische Aufgabensituationen und geeignete Kriterien für die Modellwahl, ohne ein universell bestes Modell zu behaupten
- Verfügbare Modelloptionen werden versioniert aus Content-/Produktdaten bezogen und nicht in UI-Komponenten fest verdrahtet
- Weiterführende Links sind als pflegbare Content-Metadaten hinterlegt und bevorzugen offizielle Dokumentation bzw. Release-Informationen
- Das lokale Ollama-Sonder-Setup ist nicht Bestandteil des Standard-Lernpfads
- Das Szenario besteht die Schema- und Referenzvalidierung aus AITP-90"
AITP-100,Sichtbarkeitsstufen für Punkte und Ranglisten,Story,EP-11,"Compliance, Datenschutz & Barrierefreiheit",Must,5,M3,FR-55,AITP-71,"Drei Stufen pro Mandant - private (Standard), aggregate (ab n gleich 5), named (nur mit dokumentierter Betriebsvereinbarung). Ranglisten standardmäßig deaktiviert.","- Standardkonfiguration eines neuen Mandanten ist private
- Aggregierte Sichten unterschreiten n gleich 5 nie
- Umstellung auf named erfordert eine bestätigte Freigabe im Admin-Bereich"
AITP-101,"Transparenzansicht ""Diese Daten werden über mich gespeichert""",Story,EP-11,"Compliance, Datenschutz & Barrierefreiheit",Must,3,M3,"NFR-09, NFR-10",AITP-100,"Feste Produktseite, die verständlich zeigt, welche Daten erfasst werden, wer sie sieht und wie lange sie gespeichert bleiben.","- Seite ist aus dem Profil direkt erreichbar
- Enthält Datenkategorien, Empfänger, Aufbewahrungsfristen
- Export der eigenen Daten ist möglich"
AITP-102,Aufbewahrungs- und Löschkonzept für Telemetrie,Story,EP-11,"Compliance, Datenschutz & Barrierefreiheit",Must,5,M3,"NFR-09, NFR-10",AITP-84,"Roh-Events standardmäßig 90 Tage, danach nur Aggregate. Löschung eines Nutzerkontos entfernt personenbezogene Daten vollständig.","- Automatische Löschung ist implementiert und nachweisbar
- Kontolöschung entfernt personenbezogene Daten, Aggregate bleiben anonym erhalten
- Fristen sind pro Mandant konfigurierbar"
AITP-103,"Barrierefreiheit - Tastaturbedienung, Kontraste, Screenreader",Story,EP-11,"Compliance, Datenschutz & Barrierefreiheit",Should,8,M4,NFR-08,,"Vollständige Tastaturbedienbarkeit inklusive Overlay und Simulator, ausreichende Kontraste, aussagekräftige Labels, keine ausschließlich farbliche Kodierung.","- Alle Trainingsschritte sind ohne Maus abschließbar
- Overlay-Hinweise werden von Screenreadern angesagt
- Automatisierte Prüfung (axe) ohne kritische Befunde
- Highlight ist nie die einzige Informationsquelle"
AITP-104,Rechtliche Prüfung Nachweise und Mitbestimmung,Task,EP-11,"Compliance, Datenschutz & Barrierefreiheit",Should,3,M3,"FR-54, FR-55",,"Externe Prüfung, wie Kompetenznachweise gegenüber der KI-Kompetenz-Anforderung des EU AI Act positioniert werden dürfen und welche Betriebsvereinbarung Kunden benötigen. Ergebnis - Musterformulierung und Muster-Betriebsvereinbarung als Vertriebsunterlage.","- Schriftliche Einschätzung liegt vor
- Produktkommunikation ist entsprechend angepasst
- Muster-Betriebsvereinbarung liegt als Anlage bei"
AITP-110,Telemetrie- und Lernanalytik-Pipeline,Story,EP-12,Qualitätssicherung & Lernanalytik,Must,5,M3,"NFR-10, FR-63","AITP-15, AITP-84","Events gepuffert erfassen und auswertbar ablegen - Abbruchpunkte, Hinweisnutzung, Zeitbedarf je Schritt, Fehlversuchsmuster. Zweck ist Content-Verbesserung, nicht Personenbewertung.","- Kennzahlen je Schritt abrufbar
- Pseudonymisierung ist pro Mandant aktivierbar
- Pipeline funktioniert bei kurzzeitigem Verbindungsverlust ohne Datenverlust"
AITP-111,Contract-Testsuite für Runtime-Adapter,Story,EP-12,Qualitätssicherung & Lernanalytik,Must,5,M2,"FR-30, NFR-05",AITP-20,"Gemeinsame Testsuite, die jeder Adapter bestehen muss - Mount, Events, Query, resolveTarget, describeSurface, Snapshot/Restore.","- Suite läuft gegen alle vorhandenen Adapter
- Ein neuer Adapter ist mit der Suite in unter einem Tag verifizierbar"
AITP-112,E2E-Tests je Trainingsmodus,Story,EP-12,Qualitätssicherung & Lernanalytik,Should,5,M3,NFR-05,AITP-92,"Playwright-Durchläufe für je ein Explore-, Guided- und Challenge-Szenario.","- Drei Durchläufe laufen in CI
- Overlay-Positionierung wird visuell geprüft
- Testdauer bleibt unter zehn Minuten"
AITP-113,Pilot mit echten Erstnutzern,Task,EP-12,Qualitätssicherung & Lernanalytik,Must,8,M3,,"AITP-92, AITP-110","Mindestens 15 Personen ohne Vorkenntnisse durchlaufen das VS-Code-Modul. Erhoben werden Abschlussquote, Hinweisbedarf, Abbruchpunkte, Verständnisfragen im Nachgespräch und die offenen POC-Fragen (Tutor-Sichtbarkeit, Highlight-Empfinden, Führungsgrad).","- Mindestens 15 Durchläufe ausgewertet
- Alle acht offenen Fragen aus der POC-Spezifikation sind beantwortet
- Konkrete Content- und UX-Änderungen sind daraus abgeleitet und als Tickets angelegt"
AITP-114,Simulator-Aktualitätsprüfung als wiederkehrender Prozess,Chore,EP-12,Qualitätssicherung & Lernanalytik,Should,3,M4,NFR-14,,Halbjährlicher Abgleich der Simulatoren mit der realen Produktoberfläche. Größtes Langzeitrisiko des Simulationsansatzes - ohne festen Prozess veraltet der Inhalt still.,"- Checkliste je Produkt vorhanden
- Verantwortlichkeit und Turnus dokumentiert
- Abweichungen erzeugen automatisch Tickets und markieren betroffene Szenarien"
AITP-120,Klassifizierungsschema als mandantenkonfigurierbares Datenmodell,Story,EP-13,Datenklassifizierung & Dokumenten-Check,Must,5,M2,FR-70,AITP-1,"ClassificationScheme mit Stufen in Rangfolge, Indikatoren mit Mindeststufe, KI-Freigabematrix und Unsicherheitsregel gemäß docs/10 §10.3. Standardschema öffentlich/intern/vertraulich/streng vertraulich als Ausgangspunkt; ein vorhandenes Firmenschema (z. B. aus ISO-27001-Richtlinie) muss übernehmbar sein.","- Schema ist als YAML mit JSON-Schema-Validierung ablegbar
- Mehrere ausgelöste Indikatoren ergeben die höchste Mindeststufe
- Freigabematrix ordnet jedem KI-Werkzeug eine maximale Stufe zu
- Lernmodul und Dokumenten-Check lesen dasselbe Schema"
AITP-121,Classification-Simulator als Runtime-Adapter,Story,EP-13,Datenklassifizierung & Dokumenten-Check,Must,8,M2,"FR-71, NFR-07","AITP-20, AITP-111","Einfacher Adapter mit Dokumentvorschau und Zuordnungsinteraktion (Dokument ansehen, Merkmale markieren, Stufe wählen, KI-Entscheidung treffen). Implementiert das RuntimeAdapter-Interface und besteht die Contract-Tests - dritter Generizitätsbeweis.","- Adapter besteht die Contract-Testsuite ohne Sonderbehandlung
- Synthetische Dokumente werden aus Content-Dateien geladen, nicht hart codiert
- Emittiert Events wie document.viewed, indicator.marked, level.selected
- Keine Änderung an packages/training-engine nötig (per Diff belegt)"
AITP-122,"Lernmodul ""Datenklassifizierung & KI-Nutzung"" in allen drei Modi",Story,EP-13,Datenklassifizierung & Dokumenten-Check,Must,13,M3,"FR-71, FR-72","AITP-120, AITP-121, AITP-11","Explore (Stufen und Merkmale erkunden), Guided (fünf synthetische Beispieldokumente mit Begründung einordnen), Challenge (zehn Dokumente selbstständig klassifizieren und je Dokument die KI-Entscheidung treffen). Neuer Validatortyp classification mit near-miss-Begründung des übersehenen Merkmals. Ausschließlich synthetische Dokumente.","- Alle drei Szenarien laufen fehlerfrei durch
- near-miss nennt konkret das übersehene oder falsch bewertete Merkmal
- Die Regel ""im Zweifel höher einstufen"" ist Lerninhalt und wird in der Challenge belohnt
- Challenge-Bestehen erzeugt einen Kompetenznachweis mit Lernzielen
- Kein einziges echtes Dokument ist Bestandteil des Moduls"
AITP-123,Synthetischer Dokumentenkorpus mit Grenzfällen,Story,EP-13,Datenklassifizierung & Dokumenten-Check,Must,5,M2,FR-71,AITP-120,"Mindestens 20 synthetische Dokumente (Angebot, Gehaltsliste, Pressemitteilung, Kundenvertrag, Meeting-Notiz, Organigramm, Quellcode-Auszug, Support-Ticket u. a.) mit dokumentierter Soll-Klassifizierung und den auslösenden Merkmalen. Bewusst inklusive Grenzfällen (z. B. interne Notiz mit einem einzelnen Personennamen). Dient zugleich als Testkorpus für die Klassifizierungs-Engine.","- Jedes Dokument hat Soll-Stufe, Soll-KI-Entscheidung und Merkmalsliste
- Mindestens fünf dokumentierte Grenzfälle
- Alle Namen, Firmen und Zahlen sind erfunden und als solche gekennzeichnet"
AITP-124,Klassifizierungs-Engine Stufe 1+2 - Kennzeichnungs- und Mustererkennung,Story,EP-13,Datenklassifizierung & Dokumenten-Check,Should,8,M4,"FR-76, FR-77","AITP-120, AITP-123","Deterministische Analyse ohne LLM - vorhandene Vertraulichkeitsvermerke und Dokumenteigenschaften erkennen (Stufe 1), Muster für Personenbezug, Kunden- und Vertragsdaten, Gehalts-/HR-Daten, Finanzkennzahlen sowie mandantenspezifische Schlüsselwortlisten (Stufe 2). Asymmetrisch konservativ - bei Unsicherheit höhere Stufe plus Hinweis auf menschliche Prüfung.","- Engine läuft vollständig ohne Netzwerkzugriff auf externe Modelle
- Gegen den Testkorpus aus AITP-123 keine False Negatives bei streng vertraulich
- Unsicherheitsfälle werden als solche gekennzeichnet, nicht still entschieden
- Unterstützte Formate mindestens PDF, DOCX, XLSX, TXT"
AITP-125,Dokumenten-Check-Dienst in dedizierter Mandanten-Boundary,Story,EP-13,Datenklassifizierung & Dokumenten-Check,Should,13,M4,"FR-73, FR-74, FR-75","AITP-124, AITP-84","Upload, Analyse im Speicher, Ergebnisansicht mit Stufe, erkannten Merkmalen, Freigabematrix und Empfehlungs-Disclaimer. Deployment je Firma in eigener Umgebung (eigenes Konto/eigene DB), niemals in der geteilten Plattform-Datenbank. Dokumentinhalte werden nicht persistiert und erscheinen in keinem Log.","- Ergebnis zeigt immer Stufe, Begründung, Freigabematrix und Disclaimer
- Nach der Analyse ist der Inhalt nachweislich nicht mehr gespeichert
- Persistiert werden nur Zeitstempel, Dateityp, Stufe, Merkmals-IDs, Nutzer-ID
- Jedes Ergebnis verlinkt auf die passende Lerneinheit des Klassifizierungsmoduls
- Deployment-Anleitung für eine dedizierte Mandanteninstanz liegt vor"
AITP-126,LLM-Bewertungsstufe innerhalb der Mandanten-Boundary (optional),Story,EP-13,Datenklassifizierung & Dokumenten-Check,Could,8,M5,FR-76,AITP-125,"Kontextverständnis für Grenzfälle über ein Modell, das in der Boundary des Mandanten läuft (z. B. Bedrock im Firmenkonto). Externes API nur mit ausdrücklichem, dokumentiertem Opt-in des Mandanten. Die LLM-Stufe darf eine regelbasierte Einstufung nur erhöhen oder bestätigen, nie senken.","- Ohne konfiguriertes Boundary-Modell bleibt der Check voll funktionsfähig
- LLM-Ergebnis kann eine Stufe nie herabsetzen
- Datenfluss ist dokumentiert und je Mandant abschaltbar"
AITP-127,Rechtliche Positionierung und Datenflussprüfung des Dokumenten-Checks,Task,EP-13,Datenklassifizierung & Dokumenten-Check,Should,3,M4,"FR-78, FR-79",AITP-125,"Externe Prüfung - Haftungspositionierung als Empfehlung, DSGVO-Bewertung der Verarbeitung (Auftragsverarbeitung, Rechtsgrundlage, Löschkonzept), technische Datenflussprüfung (kein Inhalt in Logs, Telemetrie, Backups). Ergebnis fließt in Disclaimer-Texte und Vertragsanlagen ein.","- Schriftliche rechtliche Einschätzung liegt vor
- Datenflussprüfung mit Ergebnisprotokoll durchgeführt
- Disclaimer- und AVV-Texte sind abgestimmt"
AITP-128,Aggregiertes Reporting des Dokumenten-Checks für Informationssicherheit,Story,EP-13,Datenklassifizierung & Dokumenten-Check,Could,5,M5,FR-79,"AITP-125, AITP-100","Aggregierte Auswertung (Verteilung der Stufen, häufigste Merkmale, Trend) für die Informationssicherheit - ohne personenbezogene Einzelauswertung, gemäß den Sichtbarkeitsstufen aus docs/05 §5.6.","- Auswertungen erst ab n gleich 5 Prüfvorgängen sichtbar
- Keine Ansicht verknüpft Person und geprüftes Einzeldokument
- Export als CSV"
